date,advancing_stocks,declining_stocks,total_stocks,URSI
2018-01-17,23,117,161,16.428571428571427
2018-01-18,91,51,162,64.08450704225352
2018-01-19,74,60,163,55.223880597014926
2018-01-22,89,59,163,60.13513513513513
2018-01-23,34,10,163,77.27272727272727
2018-01-24,18,21,163,46.15384615384615
2018-01-25,84,63,163,57.14285714285714
2018-01-26,66,75,163,46.808510638297875
2018-01-29,56,89,163,38.62068965517241
2018-01-30,85,65,163,56.666666666666664
2018-01-31,55,90,163,37.93103448275862
2018-02-01,28,115,163,19.58041958041958
2018-02-02,70,58,163,54.6875
2018-02-05,10,148,163,6.329113924050633
2018-02-06,22,130,163,14.473684210526317
2018-02-07,124,26,163,82.66666666666667
2018-02-08,45,103,163,30.405405405405407
2018-02-09,53,85,163,38.405797101449274
2018-02-12,127,15,163,89.43661971830986
2018-02-13,123,22,163,84.82758620689656
2018-02-21,115,34,163,77.18120805369128
2018-02-22,43,106,164,28.859060402684566
2018-02-23,112,33,164,77.24137931034483
2018-02-26,66,85,164,43.70860927152318
2018-02-27,73,67,164,52.142857142857146
2018-02-28,65,76,164,46.09929078014184
2018-03-01,64,86,164,42.66666666666667
2018-03-02,84,58,165,59.154929577464785
2018-03-05,50,99,165,33.557046979865774
2018-03-06,106,39,165,73.10344827586206
2018-03-07,54,91,166,37.24137931034483
2018-03-08,81,57,167,58.69565217391305
2018-03-09,73,61,167,54.47761194029851
2018-03-12,57,88,167,39.310344827586206
2018-03-13,71,71,167,50.0
2018-03-14,72,75,167,48.97959183673469
2018-03-15,75,74,167,50.33557046979866
2018-03-16,82,63,167,56.55172413793104
2018-03-19,59,85,167,40.97222222222222
2018-03-20,55,86,167,39.00709219858156
2018-03-21,69,72,167,48.93617021276596
2018-03-22,54,92,168,36.986301369863014
2018-03-23,25,123,168,16.89189189189189
2018-03-26,84,63,168,57.14285714285714
2018-03-27,68,74,168,47.88732394366197
2018-03-28,60,80,168,42.857142857142854
2018-03-29,60,82,168,42.25352112676056
2018-03-30,101,51,168,66.44736842105263
2018-04-02,83,67,168,55.333333333333336
2018-04-03,62,84,168,42.465753424657535
2018-04-04,80,69,168,53.691275167785236
2018-04-05,90,56,168,61.64383561643836
2018-04-06,77,68,168,53.103448275862064
2018-04-09,68,82,168,45.33333333333333
2018-04-10,43,106,168,28.859060402684566
2018-04-11,20,128,168,13.513513513513514
2018-04-12,93,57,168,62.0
2018-04-13,48,103,168,31.788079470198678
2018-04-16,64,76,168,45.714285714285715
2018-04-17,90,44,168,67.16417910447761
2018-04-18,33,114,168,22.448979591836736
2018-04-19,22,130,168,14.473684210526317
2018-04-20,105,40,169,72.41379310344827
2018-04-23,20,136,169,12.82051282051282
2018-04-24,58,78,169,42.64705882352941
2018-04-26,20,141,169,12.422360248447205
2018-04-27,119,34,170,77.77777777777779
2018-05-02,38,114,170,25.0
2018-05-03,72,74,170,49.31506849315068
2018-05-04,74,74,170,50.0
2018-05-07,119,32,170,78.80794701986756
2018-05-08,47,99,170,32.19178082191781
2018-05-09,60,88,170,40.54054054054054
2018-05-10,33,116,170,22.14765100671141
2018-05-11,89,50,170,64.02877697841727
2018-05-14,88,48,170,64.70588235294117
2018-05-15,94,52,170,64.38356164383562
2018-05-16,42,103,169,28.965517241379313
2018-05-17,49,86,169,36.2962962962963
2018-05-18,60,75,170,44.44444444444444
2018-05-21,38,110,170,25.675675675675674
2018-05-22,10,146,171,6.41025641025641
2018-05-23,92,41,171,69.17293233082707
2018-05-24,45,100,171,31.03448275862069
2018-05-25,19,128,171,12.925170068027212
2018-05-28,9,155,171,5.487804878048781
2018-05-29,135,15,171,90.0
2018-05-30,47,89,171,34.55882352941176
2018-05-31,137,16,171,89.54248366013073
2018-06-01,91,53,171,63.19444444444444
2018-06-04,131,25,171,83.97435897435898
2018-06-05,95,57,172,62.5
2018-06-06,95,52,172,64.62585034013605
2018-06-07,70,74,172,48.61111111111111
2018-06-08,61,77,172,44.20289855072464
2018-06-11,49,97,172,33.56164383561644
2018-06-12,25,132,172,15.92356687898089
2018-06-13,98,40,172,71.01449275362319
2018-06-14,62,86,172,41.891891891891895
